year,name,n
2021,Kevin,45
2020,Kevin,44
2019,Kevin,44
2018,Kevin,48
2017,Kevin,47
2016,Kevin,47
2015,Kevin,46
2014,Kevin,47
2013,Kevin,47
2012,Kevin,49
2011,Kevin,49
2010,Kevin,49
2009,Kevin,50
2008,Kevin,49
2007,Kevin,48
2006,Kevin,52
2005,Kevin,50
2004,Kevin,54
2003,Kevin,52
2002,Kevin,53
2001,Kevin,51
2000,Kevin,52
1999,Kevin,51
1998,Kevin,52
1997,Kevin,53
