year,name,n
2021,Kobe,44
2020,Kobe,42
2019,Kobe,32
2018,Kobe,29
2017,Kobe,36
2016,Kobe,34
2015,Kobe,29
2014,Kobe,33
2013,Kobe,35
2012,Kobe,38
2011,Kobe,34
2010,Kobe,38
2009,Kobe,38
2008,Kobe,39
2007,Kobe,33
2006,Kobe,33
2005,Kobe,34
2004,Kobe,37
2003,Kobe,46
2002,Kobe,47
2001,Kobe,47
2000,Kobe,46
1999,Kobe,40
1998,Kobe,45
1997,Kobe,29
