year,name,n
2021,Dwayne,15
2020,Dwayne,13
2019,Dwayne,16
2018,Dwayne,20
2017,Dwayne,20
2016,Dwayne,16
2015,Dwayne,21
2014,Dwayne,20
2013,Dwayne,22
2012,Dwayne,23
2011,Dwayne,23
2010,Dwayne,24
2009,Dwayne,19
2008,Dwayne,21
2007,Dwayne,21
2006,Dwayne,22
2005,Dwayne,20
2004,Dwayne,18
