year,name,n
2021,Stephen,38
2020,Stephen,37
2019,Stephen,39
2018,Stephen,41
2017,Stephen,41
2016,Stephen,44
2015,Stephen,43
2014,Stephen,42
2013,Stephen,43
2012,Stephen,42
2011,Stephen,45
2010,Stephen,44
